Camera,Phase,Species,Detections,Latitude,Longitude,Operation,RAI,Ind_Dogs,Dogs_Scaled,LGD,Sheep,elevation.clean,slope.clean,vegetation.clean,fence.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
B10,3,LYRU,2,39.01139,-123.09276,376,0.005319149,0,,N,,-1.153982282,,,,,,,,,,,,,,,,
B10,3,Dogs,0,39.01139,-123.09276,376,0,0,,N,,-1.153982282,,,,,,,,,,,,,,,,
B12,3,LYRU,5,39.0043,-123.09306,374,0.013368984,2,,Y,,-0.933145761,,,,,,,,,,,,,,,,
B12,3,Dogs,10,39.0043,-123.09306,374,0.026737968,2,,Y,,-0.933145761,,,,,,,,,,,,,,,,
B14,3,LYRU,2,38.99797,-123.09263,330,0.006060606,2,,Y,,-1.038579583,,,,,,,,,,,,,,,,
B14,3,Dogs,3,38.99797,-123.09263,330,0.009090909,2,,Y,,-1.038579583,,,,,,,,,,,,,,,,
C03,3,LYRU,43,39.03551,-123.08639,371,0.115902965,0,,N,,1.108817816,,,,,,,,,,,,,,,,
C03,3,Dogs,2,39.03551,-123.08639,371,0.005390836,0,,N,,1.108817816,,,,,,,,,,,,,,,,
C05,3,LYRU,0,39.02836,-123.08619,363,0,0,,N,,0.663161099,,,,,,,,,,,,,,,,
C05,3,Dogs,0,39.02836,-123.08619,363,0,0,,N,,0.663161099,,,,,,,,,,,,,,,,
C07,3,LYRU,0,39.02201,-123.08588,375,0,0,,N,,0.116062872,,,,,,,,,,,,,,,,
C07,3,Dogs,0,39.02201,-123.08588,375,0,0,,N,,0.116062872,,,,,,,,,,,,,,,,
C09,3,LYRU,0,39.01465,-123.08611,375,0,0,,N,,-0.480375111,,,,,,,,,,,,,,,,
C09,3,Dogs,0,39.01465,-123.08611,375,0,0,,N,,-0.480375111,,,,,,,,,,,,,,,,
