Camera,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,Directory,FileName,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C11,C11_040216_072016,Bobcat,7/15/2016 8:51,7/15/2016,8:51:12,358637,Reviewed/C11_040216_072016/Bobcat,2016 07 15 08 51 12.jpg,TRUE,8H 51M 12S,8.853333333,0.368888889,2.317797247,2.185656803
C11,C11_040216_072016,Dog,4/29/2016 23:15,4/29/2016,23:15:49,0,Reviewed/C11_040216_072016/Dog,2016 04 29 23 15 49.jpg,TRUE,23H 15M 49S,23.26361111,0.96931713,6.090399147,5.697859618
C11,C11_040216_072016,Dog,5/1/2016 23:57,5/1/2016,23:57:33,139473,Reviewed/C11_040216_072016/Dog,2016 05 01 23 57 33.jpg,TRUE,23H 57M 33S,23.95916667,0.998298611,6.272495166,5.910615415
C11,C11_040216_072016,Dog,5/23/2016 1:56,5/23/2016,1:56:29,46582,Reviewed/C11_040216_072016/Dog,2016 05 23 01 56 01.jpg,TRUE,1H 56M 29S,1.941388889,0.080891204,0.508254423,0.26101248
C11,C11_040216_072016,Dog,5/27/2016 17:42,5/27/2016,17:42:30,340323,Reviewed/C11_040216_072016/Dog,2016 05 27 17 42 30.jpg,TRUE,17H 42M 30S,17.70833333,0.737847222,4.636030826,4.117023178
C11,C11_040216_072016,Dog,5/29/2016 7:38,5/29/2016,7:38:17,90213,Reviewed/C11_040216_072016/Dog,2016 05 29 07 38 17.jpg,TRUE,7H 38M 17S,7.638055556,0.318252315,1.999638268,1.958466925
C11,C11_040216_072016,Dog,6/9/2016 19:28,6/9/2016,19:28:44,432351,Reviewed/C11_040216_072016/Dog,2016 06 09 19 28 44.jpg,TRUE,19H 28M 44S,19.47888889,0.81162037,5.099561186,4.470491534
C11,C11_040216_072016,Dog,6/10/2016 20:00,6/10/2016,20:00:53,3690,Reviewed/C11_040216_072016/Dog,2016 06 10 20 00 53.jpg,TRUE,20H 0M 53S,20.01472222,0.833946759,5.239842025,4.582190893
C11,C11_040216_072016,Dog,6/12/2016 19:12,6/12/2016,19:12:50,133634,Reviewed/C11_040216_072016/Dog,2016 06 12 19 12 50.jpg,TRUE,19H 12M 50S,19.21388889,0.800578704,5.030184348,4.410017987
C11,C11_040216_072016,Sheep,4/28/2016 9:47,4/28/2016,9:47:51,10479,Reviewed/C11_040216_072016/Sheep,2016 04 28 09 47 51.jpg,TRUE,9H 47M 51S,9.7975,0.408229167,2.564979502,2.372279772
C11,C11_040216_072016,Sheep,4/28/2016 13:46,4/28/2016,13:46:52,2390,Reviewed/C11_040216_072016/Sheep,2016 04 28 13 46 52.jpg,TRUE,13H 46M 52S,13.78111111,0.574212963,3.607886452,3.281819597
C11,C11_040216_072016,Sheep,4/28/2016 15:55,4/28/2016,15:55:26,1107,Reviewed/C11_040216_072016/Sheep,2016 04 28 15 55 26.jpg,TRUE,15H 55M 26S,15.92388889,0.66349537,4.168864362,3.771059553
C11,C11_040216_072016,Sheep,4/28/2016 17:38,4/28/2016,17:38:21,1422,Reviewed/C11_040216_072016/Sheep,2016 04 28 17 38 21.jpg,TRUE,17H 38M 21S,17.63916667,0.734965278,4.617923035,4.162692523
C11,C11_040216_072016,Sheep,4/28/2016 19:43,4/28/2016,19:43:33,1088,Reviewed/C11_040216_072016/Sheep,2016 04 28 19 43 33.jpg,TRUE,19H 43M 33S,19.72583333,0.821909722,5.16421109,4.639121166
C11,C11_040216_072016,Sheep,4/29/2016 9:31,4/29/2016,9:31:36,2612,Reviewed/C11_040216_072016/Sheep,2016 04 29 09 31 36.jpg,TRUE,9H 31M 36S,9.526666667,0.396944444,2.494075501,2.31317592
C11,C11_040216_072016,Sheep,4/29/2016 13:35,4/29/2016,13:35:54,1899,Reviewed/C11_040216_072016/Sheep,2016 04 29 13 35 54.jpg,TRUE,13H 35M 54S,13.59833333,0.566597222,3.560035342,3.240337845
